hash_id,source_name,title,url,url_to_image,content,published_at_source
b718329b848844b17ded0978173a2392,Xataka.com,He probado todos los iPhone 15. Tengo clarísimo cuál es la mejor compra,https://www.xataka.com/analisis/iphone-15-vs-iphone-15-plus-vs-iphone-15-pro-vs-iphone-15-pro-max-comparativa,https://i.blogs.es/607428/img_0851/840_560.jpeg,"En Xataka hemos analizado en profundidad los iPhone 15 y 15 Plus, así como los iPhone 15 Pro y 15 Pro Max. Apple ha dado un importante salto en la familia 15, aunque es más que probable que te estés … [+13918 chars]",2023-10-12T09:01:26Z
03cfeec03a2852e1e0a93c95eecb03e7,Xataka.com,La IA tiene dos caminos para el smartphone: camina o revienta,https://www.xataka.com/moviles/ia-tiene-dos-caminos-para-smartphone-camina-revienta,https://i.blogs.es/a96613/1366_2000/840_560.jpeg,"En estos últimos días hemos conocido unas reuniones que tienen tintes de misticismo tal vez, y de futurismo tecnológico con total seguridad: las de Sam Altman y Jony Ive. El CEO de OpenAI, la empresa… [+4327 chars]",2023-10-14T10:01:39Z
8e41367990d60cb0bc9ee21bbb95af74,Xataka.com,Todavía estás a tiempo: Amazon mantiene en oferta algunos de sus dispositivos Echo,https://www.xataka.com/seleccion/todavia-estas-a-tiempo-amazon-mantiene-oferta-algunos-sus-dispositivos-echo,https://i.blogs.es/68b949/echo/840_560.jpeg,"Si no has podido estar atento a las ofertas de los pasado días en Amazon y te has quedado con las ganas de hacerte con alguno de los altavoces o pantallas inteligentes de la gama Echo, no te preocupe… [+4871 chars]",2023-10-13T13:31:30Z
b5f6e31e83edc3d204386ff6dd4a20bf,Xataka.com,Los semáforos mal sincronizados son un gran problema. Google tiene una solución: inteligencia artificial,https://www.xataka.com/movilidad/semaforos-mal-sincronizados-gran-problema-google-tiene-solucion-inteligencia-artificial,https://i.blogs.es/540378/eliobed-suarez-pn-yni5stdq-unsplash/840_560.jpeg,"No caben dudas de que los semáforos son importantísimos para regular el tráfico de nuestras ciudades y mejorar la seguridad tanto de conductores como de peatones. Sin embargo, el crecimiento de los n… [+3465 chars]",2023-10-12T17:01:26Z
3540ba63ba7da1e94c73762425595455,Xataka.com,China está deslocalizando sus fábricas para producir más barato. Pero no en India o Vietnam: en China,https://www.xataka.com/empresas-y-economia/china-esta-deslocalizando-sus-fabricas-para-producir-barato-no-india-vietnam-china,https://i.blogs.es/32be3a/fabricas-china/840_560.jpeg,"China se enfrenta a uno de los retos económicos más importantes de los últimos 20 años, con un modelo de desarrollo atenazado por el bloqueo de los semiconductores de EE.UU y una economía postpandemi… [+3843 chars]",2023-10-14T16:01:42Z
2261de230f29a3a154a2ee18d2bb6cec,Xataka.com,La mina de dólares de Bill Gates: cómo ha logrado aumentar su fortuna durante más de veinte años seguidos,https://www.xataka.com/empresas-y-economia/mina-dolares-bill-gates-como-ha-logrado-aumentar-su-fortuna-durante-veinte-anos-seguidos,https://i.blogs.es/2fa753/bill-gates/840_560.jpeg,"A sus 67 años, Bill Gates continúa siendo una de las figuras más representativas del auge de la tecnología de finales de los 70 y principios de los 80 cuando en informática todo era campo y se fragua… [+6988 chars]",2023-10-13T17:01:32Z
a480ba7cb4307b80c9f914925beba655,Fox News,How to use ‘Visual Look Up’ feature on iOS 17 to find information easily,https://www.foxnews.com/tech/how-use-visual-look-feature-ios-17-find-information-easily,https://static.foxnews.com/foxnews.com/content/uploads/2023/10/1-Visual-Look-Up.jpg,"You may not be able to decipher whats in every photo, but now your iPhone can. With Apples new iOS 17 feature, ""Visual Look Up,"" you can do just that. Visual Look Up lets you snap a picture and searc… [+3752 chars]",2023-10-13T20:31:08Z
9c1e3b78bb34fe3e2c5b56986eb2e001,IGN,Microsoft Just Bought Activision Blizzard for $69 Billion — So What’s Next?,https://www.ign.com/articles/microsoft-just-bought-activision-blizzard-for-69-billion-so-whats-next,https://assets-prd.ignimgs.com/2023/10/13/xbox-greenlight-logo-endcard-still-3840x2160-web-1697217470568.jpg?width=1280,"Its official: Microsoft has bought Activision Blizzard for an incredible $69 billion. Its the biggest buyout in video game history, and in one fell swoop expands Xboxs first-party offering to encompa… [+7683 chars]",2023-10-13T17:29:37Z
d84ebdebdb01abb6039e3e305af725b1,Gizmodo.com,Victor LaValle on Bringing Women's Perspectives Into The Changeling,https://gizmodo.com/the-changeling-victor-lavalle-kelly-marcel-nycc-1850927492,"https://i.kinja-img.com/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/b105a797493635af77f16e0f1e1dcde7.png","Author Victor LaValle and showrunner Kelly Marcel spoke to io9 at a press line after the panel for Apple TV+s adaptation of The Changeling, talking about how to work within the confines of the novel,… [+1840 chars]",2023-10-14T16:10:00Z
77a43aaea36ba160cebf8dd9cc9dd007,Digital Trends,These iPads are still discounted following the Prime Big Deal days event,https://www.digitaltrends.com/mobile/october-prime-day-ipad-deals-still-available/,https://www.digitaltrends.com/wp-content/uploads/2022/03/ipad-air-5-rear-panel.jpg?resize=1200%2C630&p=1,"Amazon’s Prime Big Deals Days 2023 is already over, but some Prime Day deals for various models of Apple’s iPad remain online. We’re not sure how long they’ll stay available (this may be a glitch, fo… [+3186 chars]",2023-10-12T11:51:57Z
8b52006833999b642db2d95d1114768f,Digital Trends,Which streaming platform has the best screensavers?,https://www.digitaltrends.com/home-theater/streaming-platform-best-screensaver/,https://www.digitaltrends.com/wp-content/uploads/2023/10/apple-tv-screensaver-13.jpg?resize=1200%2C630&p=1,"Apple TV 4K has the best overall screensaver experience, even if it lacks widgets other platforms offer.Phil Nickinson / Digital Trends
Streaming video from providers like Netflix and Disney+ is gen… [+9989 chars]",2023-10-13T14:30:01Z
4699fded47f0f8f51466bcefac451921,Digital Trends,The 15-inch MacBook Air just became an even better buy,https://www.digitaltrends.com/computing/apple-macbook-air-m2-deal-best-buy-october-2023/,https://www.digitaltrends.com/wp-content/uploads/2022/08/macbook-air-m2-7.jpg?resize=1200%2C630&p=1,"Digital Trends
You may have missed Amazon’s returning Prime Day deals from Prime Big Deal Days 2023, but you still have the chance to get the 15-inch Apple MacBook Air M2 for much cheaper than usual… [+1848 chars]",2023-10-12T18:05:45Z
4d5cf28794281bc6f30760c79253e3d8,Digital Trends,Hurry! The Apple Watch Series 9 is still at its Prime Day price,https://www.digitaltrends.com/mobile/apple-watch-series-9-deal-amazon-october-2023/,https://www.digitaltrends.com/wp-content/uploads/2023/09/apple-watch-series-9-apps.jpg?resize=1200%2C630&p=1,"Andy Boxall / Digital Trends
Most shoppers didn’t expect the recently released Apple Watch Series 9 to appear in Amazon’s October Prime Day deals, but it’s even more surprising that the offer from t… [+1916 chars]",2023-10-13T17:40:03Z
6ce99522d745ab8eb00cfe06c3243d5e,Digital Trends,Is the iPhone 15 Pro Max camera as good as Apple says? I found out,https://www.digitaltrends.com/mobile/iphone-15-pro-max-vs-iphone-14-pro-camera-comparison/,https://www.digitaltrends.com/wp-content/uploads/2023/10/iphone-15-pro-max-14-pro-back.jpg?resize=1200%2C630&p=1,"Apple iPhone 14 Pro (left) and iPhone 15 Pro MaxAndy Boxall / Digital Trends
The iPhone 15 Pro Max has the best camera on an iPhone ever. At least, that’s how Apple made it sound during the launch e… [+10929 chars]",2023-10-12T12:00:26Z
81ec7cc9a17d2e8d172065c9c6d3438a,Digital Trends,I have 7 tips to help you take great pictures with your iPhone,https://www.digitaltrends.com/mobile/7-iphone-camera-tips-for-taking-great-pictures/,https://www.digitaltrends.com/wp-content/uploads/2023/10/iPhone-15-Pro-rear-cameras.jpg?resize=1200%2C630&p=1,"Joe Maring / Digital Trends
I’ve been traveling frequently this year, and an iPhone has always stayed in my pocket. I wasn’t a fan of Apple’s camera system until the iPhone 14 series, and I’ve been … [+8712 chars]",2023-10-14T13:00:56Z
6b206a3c54fb18bfd6285bffa4c2e12d,Digital Trends,"Prime Day is over, but these laptop deals are still available",https://www.digitaltrends.com/computing/october-prime-day-laptop-deals-still-available/,https://www.digitaltrends.com/wp-content/uploads/2022/08/macbook-air-m2-5.jpg?resize=1200%2C630&p=1,"Prime Big Deals Day 2023 has ended, but some of the Prime Day laptop deals that rival retailers have rolled out to answer Amazon’s offers are still available. If you want to buy a new laptop for a lo… [+4863 chars]",2023-10-12T11:50:36Z
8b037b2d827616dc85d22990ba6b8e64,Digital Trends,This is as close as we’ll get to a dumb TV anytime soon,https://www.digitaltrends.com/home-theater/dumb-tv-close-enough/,https://www.digitaltrends.com/wp-content/uploads/2023/10/tcl-google-tv.jpg?resize=1200%2C630&p=1,"The “Basic TV” option in the setup of a TCL television.Phil Nickinson / Digital Trends
When it comes to “smart TVs,” you’ll often find that folks fall into two distinct camps. There are those who sa… [+3086 chars]",2023-10-14T23:00:00Z
f9326284acb0559e5dae0c8b54d94436,The Atlantic,Computers Are Learning to Smell,https://www.theatlantic.com/technology/archive/2023/10/ai-scent-digitizing-smell/675608/?utm_source=feed,,"You know the smell of warm, buttered popcorn. A crisp autumn day. The pungent, somewhat sweet scent that precedes rain. But could you begin to describe these aromas in detail? Or compare them? Your n… [+9568 chars]",2023-10-13T12:32:15Z
279e7ec405bed8d419a98f549c68137d,The Atlantic,The Source of America’s Political Chaos,https://www.theatlantic.com/newsletters/archive/2023/10/trump-2016-source-chaos/675643/?utm_source=feed,,"This is an edition of The Atlantic Daily, a newsletter that guides you through the biggest stories of the day, helps you discover new ideas, and recommends the best in culture. Sign up for it here.Mo… [+10093 chars]",2023-10-13T22:16:00Z
